position,entropy_value
1910,0.263034
1911,3.91886
1912,2.80735
1913,1
1914,2.64386
1915,0.584963
1916,0.584963
1917,1.08746
1918,0.608809
1919,4.39232
1920,1.80735
1921,1
1922,0.736966
1923,3.32193
1924,1.58496
1925,7.09803
1926,1
1927,2.45943
1928,2
1929,0.874469
1930,0.678072
1931,3.77124
1932,1.22239
1933,0.584963
1934,0.206451
1935,1
1936,3
1937,0.289507
1938,3.39232
1939,0.214125
1940,2.98351
1941,0.906891
1942,5.49185
1943,0.485427
1944,3.56478
1945,1
1946,0.584963
1947,3
1948,1.58496
1949,1.58496
1950,1.58496
1951,0.736966
1952,1.32193
1953,0.13245
1954,9.86959
1955,2
1956,2
1957,1.58496
1958,2.80735
