position,entropy_value
1524,2.24286
1525,0.544321
1526,1.63227
1527,1.76553
1528,5.68983
1529,3.0156
1530,1.87447
1531,1.15381
1532,2.4292
1533,5.36923
1534,0.652077
1535,6.22882
1536,4.05889
1537,5.02237
1538,3.14975
1539,1.55459
1540,1.53051
1541,1
1542,1.4836
1543,5.32193
1544,1.88868
1545,5.68494
1546,0.874469
1547,2.2338
1548,1.10604
1549,3.17493
1550,2.72247
1551,0.848858
1552,4.5103
1553,1.15265
1554,2.92547
1555,3.37697
1556,1.62678
1557,1.94158
1558,5.02554
1559,3.45066
1560,0.337035
1561,1.32035
1562,0.453366
1563,2.2156
1564,4.72792
1565,2.04439
1566,5.49185
1567,1.58496
1568,1.9535
1569,2.95087
1570,4.03317
1571,0.418604
1572,2.96347
1573,2.41028
1574,1.52607
1575,0.138828
1576,0.261775
1577,0.806149
1578,4.48142
1579,1.60257
1580,0.935727
1581,0.422172
1582,7.36107
1583,1.58496
1584,0.194269
1585,0.0501858
1586,3.6837
1587,0.120294
1588,2.19775
1589,0.00391505
1590,0.155754
1591,0.393772
1592,3.70251
1593,1.59242
1594,1.60486
1595,0.756957
1596,1.08746
1597,2.90951
1598,0.751763
1599,3.3146
1600,1.02401
1601,2.21491
1602,1.5396
1603,2.10794
1604,3.70879
1605,4.14296
1606,2.35755
1607,0.0888093
1608,0.313815
1609,1.13362
1610,3.63921
1611,2.26935
1612,0.809569
1613,4.04701
1614,2.41028
1615,1.52607
1616,0.138828
1617,0.261775
1618,0.806149
1619,2.82051
1620,1.73755
1621,6.15785
1622,0.463947
1623,0.194269
1624,0.0501858
1625,0.57936
1626,3.5479
1627,2.60666
1628,3.74416
1629,1
1630,4.08231
1631,3.01495
1632,1.02985
1633,1.37046
1634,0.607924
1635,1.17852
1636,6.02578
1637,1.74024
1638,0.38247
1639,0.436986
1640,0.734241
1641,2.10794
1642,8.43671
1643,4.32193
1644,2
1645,1.58496
1646,1.58496
1647,0.192645
1648,4.79766
1649,2.25154
1650,3.41677
1651,6.09803
1652,1.44057
1653,2.32193
1654,2.56003
1655,1.15582
1656,4.09162
1657,0.761355
1658,3.84747
1659,1.20511
1660,0.902153
1661,4.45943
1662,3.59904
1663,2.65208
1664,3.73697
1665,4.71272
1666,5.02975
1667,6.63662
1668,0.63743
1669,0.103093
1670,1.44361
1671,0.309169
1672,3.83112
1673,2.70782
1674,1.50901
1675,1.71049
1676,0.945237
1677,5.87447
1678,1.078
1679,0.469485
1680,5.23947
1681,0.537657
1682,2.47615
1683,1.28868
1684,5.17991
1685,5.50779
1686,0.289507
1687,0.616671
1688,1.36773
1689,6.03709
1690,4.81526
1691,1.01465
1692,0.885468
1693,4.72489
1694,2.49825
1695,0.314873
1696,0.0995357
1697,0.445411
1698,1.63443
1699,0.797811
1700,4.34136
1701,1.02401
1702,1.85854
1703,0.168123
1704,0.397563
1705,3.04913
1706,3.60288
1707,1.49957
1708,3.00765
1709,0.901596
1710,7.43463
1711,0.584963
1712,0.211504
1713,0.201882
1714,3.68909
1715,3.13138
1716,2.67319
1717,0.571906
1718,1.98388
1719,0.0627358
1720,0.733213
1721,1.28868
1722,4.09245
1723,2.25956
1724,2.54382
1725,2.90357
1726,1.80735
1727,1.95936
1728,1.06634
1729,2.37662
1730,4.5103
1731,1.15265
1732,0.746669
1733,7.08443
1734,1.40718
1735,2.48543
1736,0.485427
1737,3.89077
1738,1.77761
1739,0.726239
1740,0.945237
1741,2.63016
1742,3.62882
1743,4.70044
1744,3.16993
1745,2
1746,1
1747,2
1748,1.92057
1749,3
1750,3.63509
1751,2.01728
1752,6.47573
1753,1.41504
1754,0.314873
1755,0.0995357
1756,0.445411
1757,3.97323
1758,3.25298
1759,4.16993
1760,4.89077
1761,4.93074
1762,1
1763,0.331206
1764,2.78022
1765,1.85704
1766,4.37255
1767,4.67596
1768,1.48153
1769,0.924712
1770,0.974465
1771,3.00765
1772,0.901596
1773,4.37573
1774,5.52356
1775,1.58496
1776,1.58496
1777,1
1778,0.280108
1779,4.66676
1780,2.45943
1781,0.807355
1782,4.08746
1783,0.942667
1784,0.746669
1785,4.72186
1786,3.04564
1787,1.33031
1788,1.38904
1789,1.3744
1790,1.45337
1791,2.83519
1792,2.01381
1793,2.81502
1794,1.93289
1795,3.25634
1796,0.678072
1797,2.8679
1798,1.80154
1799,2.14951
1800,0.00391505
1801,0.155754
1802,0.393772
1803,4.27405
1804,2.40831
1805,2.0494
1806,1.39414
1807,4.08746
1808,2.25815
1809,0.739291
1810,0.945237
1811,9.26679
1812,2.58496
1813,2
1814,0.63743
1815,3.49399
1816,3.60288
1817,1.58496
1818,1.02466
1819,2.29613
1820,1.59484
1821,1.19015
1822,1.87685
1823,2.9426
1824,1.3614
1825,3.90992
1826,1.12873
1827,3.51918
1828,0.425306
1829,0.211504
1830,0.969303
1831,1.6399
1832,6.71081
1833,0.838249
1834,3.05658
1835,0.947533
1836,2.19476
1837,0.341037
1838,1.56544
1839,2.63346
1840,1.65208
1841,2.12477
1842,4.22005
1843,2.05063
1844,0.724366
1845,4
1846,0.0124909
1847,3.59781
1848,2.0889
1849,0.617384
1850,4.47449
1851,3.22239
1852,1.33031
1853,0.974005
1854,3.30812
1855,1.01081
1856,7.05673
1857,1.4021
1858,2.90442
1859,2.14439
1860,0.935727
1861,0.422172
1862,3.92811
1863,3.62644
1864,1.73835
1865,0.310788
1866,1.31228
1867,3.54649
1868,0.910019
1869,2.96477
1870,0.451585
1871,3.20945
1872,1.01465
1873,4.50419
1874,1.49139
1875,3.12553
1876,2.36257
1877,3.16993
1878,2.58496
1879,1.58496
1880,5.41504
1881,0.00784075
1882,0.155754
